Title,Property Size,Bedrooms,Bathrooms,Furnishing,Region,Region Name,Region Parent Name,Is Boost,Price
"3bdrm Bungalow in Greenleaf Estate, Ebute for sale",300.0,3,4,Unfurnished,"Ikorodu, Ebute",Ebute,Lagos State,Premium,43000000.0
Furnished 4bdrm Duplex in Enugu for sale,1000.0,4,4,Furnished,"Enugu State, Enugu",Enugu,Enugu State,Premium,350000000.0
"5bdrm Duplex in Basic Estate, Lokogoma for sale",600.0,5,4,Unfurnished,"Abuja (FCT), Lokogoma",Lokogoma,Abuja (FCT),Diamond,220000000.0
2bdrm Apartment in Lekki Phase 1 for sale,300.0,2,2,Semi Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,VIP Gold,350000000.0
2bdrm Bungalow in Ewekoro for sale,600.0,2,2,Unfurnished,"Ogun State, Ewekoro",Ewekoro,Ogun State,False,7000000.0
4bdrm Duplex in Sabo Yaba for sale,500.0,4,5,Unfurnished,"Yaba, Sabo / Yaba",Sabo / Yaba,Yaba,Enterprise,300000000.0
Furnished Mini Flat in Oluyole for sale,500.0,3,3,Furnished,"Oyo State, Oluyole",Oluyole,Oyo State,False,33000000.0
2bdrm House in Ifo for sale,150.0,2,3,Semi Furnished,"Ogun State, Ifo",Ifo,Ogun State,False,25000000.0
5bdrm Duplex in Osapa London for sale,500.0,5,5,Unfurnished,"Lekki, Osapa london",Osapa london,Lagos State,VIP Gold,900000000.0
"5bdrm House in Engr Lere Adigun Gra, Basorun for sale",500.0,5,5,Semi Furnished,"Ibadan, Basorun",Basorun,Oyo State,Premium,420000000.0
4bdrm Duplex in Ikate-Elegushi for sale,400.0,4,4,Semi Furnished,"Lekki, Ikate-Elegushi",Ikate-Elegushi,Lagos State,VIP Gold,500000000.0
"3bdrm Block of Flats in Peace Estate, Alakia for sale",1800.0,3,3,Unfurnished,"Ibadan, Alakia",Alakia,Oyo State,False,100000000.0
