title,property_size,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
"3bdrm Bungalow in Greenleaf Estate, Ebute for sale",300.0,3,4,unfurnished,"Ikorodu, Ebute",Ebute,Ikorodu,premium,"₦ 43,000,000"
Furnished 4bdrm Duplex in Enugu for sale,1000.0,4,4,furnished,"Enugu State, Enugu",Enugu,Enugu State,premium,"₦ 350,000,000"
"5bdrm Duplex in Basic Estate, Lokogoma for sale",600.0,5,4,unfurnished,"Abuja (FCT), Lokogoma",Lokogoma,Abuja (FCT),diamond,"₦ 220,000,000"
2bdrm Apartment in Lekki Phase 1 for sale,300.0,2,2,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,vip_gold,"₦ 350,000,000"
2bdrm Bungalow in Ewekoro for sale,600.0,2,2,unfurnished,"Ogun State, Ewekoro",Ewekoro,Ogun State,False,"₦ 7,000,000"
4bdrm Duplex in Sabo Yaba for sale,500.0,4,5,unfurnished,"Yaba, Sabo / Yaba",Sabo / Yaba,Yaba,enterprise,"₦ 300,000,000"
Furnished 5bdrm Duplex in Lekki Ph1 for sale,600.0,5,5,furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,vip_gold,"₦ 1,200,000,000"
Furnished Mini Flat in Oluyole for sale,500.0,3,3,furnished,"Oyo State, Oluyole",Oluyole,Oyo State,False,"₦ 33,000,000"
2bdrm House in Ifo for sale,150.0,2,3,semi-furnished,"Ogun State, Ifo",Ifo,Ogun State,False,"₦ 25,000,000"
5bdrm Duplex in Osapa London for sale,500.0,5,5,unfurnished,"Lekki, Osapa london",Osapa london,Lekki,vip_gold,"₦ 900,000,000"
"5bdrm House in Engr Lere Adigun Gra, Basorun for sale",500.0,5,5,semi-furnished,"Ibadan, Basorun",Basorun,Ibadan,premium,"₦ 420,000,000"
4bdrm Duplex in Ikate-Elegushi for sale,400.0,4,4,semi-furnished,"Lekki, Ikate-Elegushi",Ikate-Elegushi,Lekki,vip_gold,"₦ 500,000,000"
"3bdrm Block of Flats in Peace Estate, Alakia for sale",1800.0,3,3,unfurnished,"Ibadan, Alakia",Alakia,Ibadan,False,"₦ 100,000,000"
5bdrm Duplex in Lekki Phase 1 for sale,400.0,5,5,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,vip_gold,"₦ 870,000,000"
"3bdrm Block of Flats in Nelson Cole Estate, Ifako-Ogba for sale",650.0,3,4,semi-furnished,"Ogba, Ifako-Ogba",Ifako-Ogba,Ogba,basic,"₦ 300,000,000"
2bdrm Apartment in Lekki Expressway for sale,250.0,2,2,semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,diamond,"₦ 80,000,000"
"Furnished 5bdrm Duplex in Estate, Jahi for sale",1500.0,5,5,furnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),enterprise,"₦ 700,000,000"
2bdrm Apartment in Lekki Phase 1 for sale,200.0,2,2,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,vip_gold,"₦ 240,000,000"
"5bdrm Bungalow in Beside Omobolanle, Akobo for sale",2159.0,5,3,unfurnished,"Ibadan, Akobo",Akobo,Ibadan,enterprise,"₦ 320,000,000"
"4bdrm Duplex in Hrc, Ajah for sale",600.0,4,4,semi-furnished,"Lagos State, Ajah",Ajah,Lagos State,False,"₦ 140,000,000"
"4bdrm Duplex in Engr Lere Adigun Gra, Basorun for sale",600.0,4,4,semi-furnished,"Ibadan, Basorun",Basorun,Ibadan,premium,"₦ 375,000,000"
8bdrm Block of Flats in Ipaja / Ipaja for sale,550.0,8,16,semi-furnished,"Ipaja, Ipaja / Ipaja",Ipaja / Ipaja,Ipaja,False,"₦ 70,000,000"
3bdrm Apartment in Anthony Village for sale,400.0,3,4,unfurnished,"Maryland, Anthony Village",Anthony Village,Maryland,enterprise,"₦ 200,000,000"
"Furnished 5bdrm Apartment in Chevro Driver, Chevron for sale",800.0,5,5,furnished,"Lekki, Chevron",Chevron,Lekki,False,"₦ 360,000,000"
4bdrm Duplex in Idimu for sale,500.0,4,5,semi-furnished,"Egbe/Idimu, Idimu",Idimu,Egbe/Idimu,enterprise,"₦ 200,000,000"
"4bdrm Duplex in Custom Co-Op Estate, Kabusa for sale",500.0,4,4,semi-furnished,"Abuja (FCT), Kabusa",Kabusa,Abuja (FCT),False,"₦ 120,000,000"
2bdrm Bungalow in Abule Egba for sale,300.0,2,3,unfurnished,"Lagos State, Abule Egba",Abule Egba,Lagos State,premium,"₦ 45,000,000"
"2bdrm Block of Flats in Iba Lagos, Ojo for sale",600.0,2,1,semi-furnished,"Lagos State, Ojo",Ojo,Lagos State,False,"₦ 90,000,000"
Furnished 5bdrm Duplex in Katampe Extension for sale,3000.0,5,5,furnished,"Katampe, Katampe Extension",Katampe Extension,Katampe,basic,"₦ 700,000,000"
Furnished 3bdrm Block of Flats in Ikosi for sale,442.0,3,3,furnished,"Kosofe, Ketu-Ikosi",Ketu-Ikosi,Kosofe,enterprise,"₦ 330,000,000"
5bdrm Duplex in Harris Drive By Vgc for sale,298.0,5,5,unfurnished,"Ajah, VGC / Ajah",VGC / Ajah,Ajah,enterprise,"₦ 500,000,000"
6bdrm Duplex in Akin Olugbade for sale,350.0,6,6,unfurnished,"Victoria Island, Akin Olugbade",Akin Olugbade,Victoria Island,diamond,"₦ 1,800,000,000"
"4bdrm Duplex in Engr Lere Adigun Gra, Basorun for sale",500.0,4,4,semi-furnished,"Ibadan, Basorun",Basorun,Ibadan,premium,"₦ 370,000,000"
4bdrm Duplex in Guzape District for sale,750.0,4,5,unfurnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),diamond,"₦ 450,000,000"
5bdrm Duplex in Lekki Phase 1 for sale,350.0,5,5,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,diamond,"₦ 850,000,000"
17bdrm Apartment in Maitama for sale,2000.0,17,17,semi-furnished,"Abuja (FCT), Maitama",Maitama,Abuja (FCT),basic,"₦ 6,000,000,000"
Furnished 5bdrm Duplex in Kado for sale,800.0,5,5,furnished,"Abuja (FCT), Kado",Kado,Abuja (FCT),basic,"₦ 700,000,000"
Furnished 4bdrm House in Gaduwa for sale,1000.0,4,4,furnished,"Abuja (FCT), Gaduwa",Gaduwa,Abuja (FCT),basic,"₦ 320,000,000"
Furnished 7bdrm Villa in Guzape District for sale,1000.0,7,7,furnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),basic,"₦ 1,500,000,000"
Furnished 5bdrm Duplex in Katampe Extension for sale,3000.0,5,5,furnished,"Katampe, Katampe Extension",Katampe Extension,Katampe,basic,"₦ 700,000,000"
3bdrm Bungalow in Ilorin West for sale,648.0,3,3,unfurnished,"Kwara State, Ilorin West",Ilorin West,Kwara State,False,"₦ 56,000,000"
5bdrm Duplex in Lekki Phase 1 for sale,350.0,5,5,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,diamond,"₦ 1,100,000,000"
"5bdrm Duplex in Orchid Roads, Ikota for sale",289.0,5,5,unfurnished,"Lekki, Ikota",Ikota,Lekki,enterprise,"₦ 660,000,000"
"8bdrm Duplex in Unique Street, Oyo / Oyo for sale",3000.0,8,8,unfurnished,"Oyo, Oyo / Oyo",Oyo / Oyo,Oyo,diamond,"₦ 45,000,000"
4bdrm Duplex in Ikota for sale,350.0,4,4,unfurnished,"Lekki, Ikota",Ikota,Lekki,diamond,"₦ 180,000,000"
5bdrm Duplex in Lekki Phase 1 for sale,350.0,5,5,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,diamond,"₦ 750,000,000"
Furnished 4bdrm Duplex in Jahi for sale,3000.0,4,4,furnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),basic,"₦ 470,000,000"
Furnished 4bdrm Duplex in Benin City for sale,100.0,4,4,furnished,"Edo State, Benin City",Benin City,Edo State,False,"₦ 200,000,000"
Furnished 2bdrm Apartment in Lekki Phase 1 for sale,350.0,2,2,furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,diamond,"₦ 500,000,000"
"4bdrm Bungalow in Kadara Estate, Igbogbo for sale",600.0,4,4,unfurnished,"Ikorodu, Igbogbo",Igbogbo,Ikorodu,False,"₦ 38,000,000"
"4bdrm Duplex in Estate, Jahi for sale",1500.0,4,4,semi-furnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),enterprise,"₦ 320,000,000"
3bdrm Bungalow in Standard Estate for sale,500.0,3,3,unfurnished,"Abuja (FCT), Galadimawa",Galadimawa,Abuja (FCT),basic,"₦ 170,000,000"
3bdrm Block of Flats in Ado-Odo/Ota for sale,900.0,3,4,semi-furnished,"Ogun State, Ado-Odo/Ota",Ado-Odo/Ota,Ogun State,False,"₦ 15,000,000"
Furnished 3bdrm Apartment in Old Ikoyi for sale,500.0,3,3,furnished,"Ikoyi, Old Ikoyi",Old Ikoyi,Ikoyi,diamond,"₦ 700,000,000"
4bdrm Duplex in Thomas Estate for sale,300.0,4,4,semi-furnished,"Ajah, Thomas Estate",Thomas Estate,Ajah,enterprise,"₦ 150,000,000"
"4bdrm Duplex in 7Th Avenue, Bunkoro for sale",600.0,4,5,semi-furnished,"Gwarinpa, Bunkoro",Bunkoro,Gwarinpa,False,"₦ 290,000,000"
5bdrm Duplex in Guzape District for sale,700.0,5,5,unfurnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),False,"₦ 650,000,000"
Furnished 6bdrm Duplex in Guzape District for sale,3000.0,6,6,furnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),basic,"₦ 1,100,000,000"
3bdrm Apartment in Guzape District for sale,3000.0,3,3,semi-furnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),basic,"₦ 300,000,000"
"6bdrm Duplex in Mayfair Gardens, Awoyaya for sale",675.0,6,6,semi-furnished,"Ibeju, Awoyaya",Awoyaya,Ibeju,premium,"₦ 600,000,000"
Furnished 5bdrm Duplex in Guzape District for sale,700.0,5,5,furnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),basic,"₦ 1,100,000,000"
Furnished 9bdrm House in Burum for sale,800.0,9,9,furnished,"Kabusa, Burum",Burum,Kabusa,basic,"₦ 48,500,000"
"4bdrm Duplex in King'S Palace Estate, Sabon Lugbe for sale",600.0,4,4,semi-furnished,"Lugbe District, Sabon Lugbe",Sabon Lugbe,Lugbe District,diamond,"₦ 300,000,000"
Furnished 6bdrm Duplex in Apo Resettlement for sale,800.0,6,6,furnished,"Apo District, Apo Resettlement",Apo Resettlement,Apo District,basic,"₦ 750,000,000"
5bdrm Duplex in Kubwa for sale,650.0,5,5,semi-furnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),basic,"₦ 200,000,000"
3bdrm Duplex in Life Camp for sale,1000.0,3,3,unfurnished,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,basic,"₦ 60,000,000"
Furnished 6bdrm Duplex in Katampe Extension for sale,800.0,6,6,furnished,"Katampe, Katampe Extension",Katampe Extension,Katampe,basic,"₦ 1,200,000,000"
1bdrm Apartment in Idu Industrial for sale,10.0,1,1,semi-furnished,"Abuja (FCT), Idu Industrial",Idu Industrial,Abuja (FCT),False,"₦ 3,500,000"
Furnished 4bdrm Duplex in Kado for sale,2000.0,4,4,furnished,"Abuja (FCT), Kado",Kado,Abuja (FCT),basic,"₦ 600,000,000"
"3bdrm Duplex in Victory Estate, Berger for sale",300.0,3,4,unfurnished,"Ojodu, Berger",Berger,Ojodu,False,"₦ 180,000,000"
Furnished 3bdrm Apartment in Katampe (Main) for sale,3000.0,3,3,furnished,"Katampe, Katampe (Main)",Katampe (Main),Katampe,basic,"₦ 220,000,000"
"2bdrm Block of Flats in Podo, Akala Express for sale",579.0,2,3,unfurnished,"Ibadan, Akala Express",Akala Express,Ibadan,vip_gold,"₦ 45,000,000"
"Furnished 8bdrm House in Abere Government, Osogbo for sale",3500.0,8,4,furnished,"Osun State, Osogbo",Osogbo,Osun State,False,"₦ 230,000,000"
4bdrm Duplex in Garki 2 for sale,1500.0,4,4,unfurnished,"Abuja (FCT), Garki 2",Garki 2,Abuja (FCT),premium,"₦ 350,000,000"
"4bdrm Duplex in Millennium, Millenuim/UPS for sale",350.0,4,4,semi-furnished,"Gbagada, Millenuim/UPS",Millenuim/UPS,Gbagada,False,"₦ 350,000,000"
10bdrm Block of Flats in Ajah for sale,761.0,10,12,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,vip_gold,"₦ 250,000,000"
12bdrm Block of Flats in Ibadan for sale,600.0,12,8,semi-furnished,"Oyo State, Ibadan",Ibadan,Oyo State,enterprise,"₦ 99,800,000"
4bdrm Bungalow in Adio Street Ile Ife for sale,4200.0,4,4,semi-furnished,"Osun State, Ife",Ife,Osun State,False,"₦ 45,000,000"
3bdrm Bungalow in Thomas Estate for sale,300.0,3,4,unfurnished,"Ajah, Thomas Estate",Thomas Estate,Ajah,False,"₦ 75,000,000"
4bdrm Duplex in Ojodu Berger Lagos for sale,150.0,4,5,semi-furnished,"Ojodu, Berger",Berger,Ojodu,enterprise,"₦ 260,000,000"
"4bdrm Block of Flats in Unity Estate Araba, Alakia for sale",450.0,4,5,unfurnished,"Ibadan, Alakia",Alakia,Ibadan,vip_gold,"₦ 14,000,000"
"4bdrm Bungalow in Evergreen Estate, Ado-Odo/Ota for sale",330.0,4,4,unfurnished,"Ogun State, Ado-Odo/Ota",Ado-Odo/Ota,Ogun State,vip,"₦ 8,500,000"
"Furnished 4bdrm Penthouse in New Road Extension,, Obio-Akpor for sale",465.0,4,4,furnished,"Rivers State, Obio-Akpor",Obio-Akpor,Rivers State,diamond,"₦ 95,000,000"
"Furnished 3bdrm Duplex in Shell Cooperative, Eneka for sale",400.0,3,3,furnished,"Port-Harcourt, Eneka",Eneka,Port-Harcourt,diamond,"₦ 260,000,000"
"4bdrm Duplex in Reef Court Estate,, Abuloma for sale",450.0,4,4,unfurnished,"Port-Harcourt, Abuloma",Abuloma,Port-Harcourt,diamond,"₦ 600,000,000"
2bdrm Apartment in Eneka Estate for sale,900.0,2,2,unfurnished,"Port-Harcourt, Eneka",Eneka,Port-Harcourt,diamond,"₦ 230,000,000"
"4bdrm Block of Flats in Akute, Ojodu for sale",635.0,4,4,unfurnished,"Lagos State, Ojodu",Ojodu,Lagos State,False,"₦ 170,000,000"
"6bdrm Duplex in Bourdilon, Ikoyi for sale",400.0,6,6,unfurnished,"Lagos State, Ikoyi",Ikoyi,Lagos State,False,"₦ 1,200,000,000"
"Furnished 6bdrm Duplex in Stadium Estate, Rumuomasi for sale",675.0,6,6,furnished,"Port-Harcourt, Rumuomasi",Rumuomasi,Port-Harcourt,diamond,"₦ 350,000,000"
"4bdrm Duplex in Estate Akwaka, Ruuodomaya for sale",289.0,4,4,unfurnished,"Port-Harcourt, Ruuodomaya",Ruuodomaya,Port-Harcourt,diamond,"₦ 200,000,000"
6bdrm Duplex in Gra for sale,640.0,6,6,semi-furnished,"Ikeja, Ikeja GRA",Ikeja GRA,Ikeja,False,"₦ 950,000,000"
"4bdrm Duplex in Ikota, Lagos Island / Lagos Island for sale",650.0,4,4,unfurnished,"Lagos Island (Eko), Lagos Island / Lagos Island",Lagos Island / Lagos Island,Lagos Island (Eko),False,"₦ 200,000,000"
"4bdrm Duplex in Omole Phase1, Ikeja for sale",330.0,4,4,unfurnished,"Lagos State, Ikeja",Ikeja,Lagos State,False,"₦ 400,000,000"
4bdrm Duplex in Ojodu Berger for sale,600.0,4,4,unfurnished,"Ojodu, Berger",Berger,Ojodu,False,"₦ 350,000,000"
4bdrm Duplex in Ikeja for sale,400.0,4,4,unfurnished,"Lagos State, Ikeja",Ikeja,Lagos State,False,"₦ 350,000,000"
"2bdrm Apartment in Private Estate, Lekki for sale",630.0,2,2,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,"₦ 100,000,000"
"4bdrm Duplex in Ochid, Lekki for sale",480.0,4,4,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,"₦ 200,000,000"
"4bdrm Duplex in Ada George Port, Obio-Akpor for sale",450.0,4,4,unfurnished,"Rivers State, Obio-Akpor",Obio-Akpor,Rivers State,diamond,"₦ 280,000,000"
"Furnished 3bdrm Apartment in Golf Estate, Okuru for sale",300.0,3,3,furnished,"Port-Harcourt, Okuru",Okuru,Port-Harcourt,diamond,"₦ 115,000,000"
"4bdrm Duplex in Estate, Rukpokwu for sale",450.0,4,4,unfurnished,"Port-Harcourt, Rukpokwu",Rukpokwu,Port-Harcourt,diamond,"₦ 165,000,000"
"5bdrm Duplex in Anthony Maryland, Ikeja for sale",500.0,5,5,unfurnished,"Lagos State, Ikeja",Ikeja,Lagos State,False,"₦ 550,000,000"
